カード番号,文字,部首,字体数,用例数１,用例数２,用例数３,大字典
0731,續,120,1,10,,,09061
0732,約,120,1,47,,,08738
0733,繋,120,1,4,,,09030
0734,絹,120,1,2,,,08840
0735-0736,縁,120,1,93,,,08924
0737,經,120,1,33,,,08856
0738,細,120,1,13,,,08779
0739,網,120,1,3,,,08885
0740,罪,122,1,2,,,09125
0741,羅,122,1,14,,,09144
0742-0745,義,123,1,185,,,09177
0746,習,124,1,32,,,09214
0747-0751,者,125,1,202,,,09255
0752,老,125,1,2,,,09250
0753,而,126,1,18,,,09264
0754-0755,耶,128,1,73,,,09292
0756,聞,128,1,30,,,09315
0757,聖,128,1,19,,,09308
0758,肉,130,1,2,,,09348
0759-0760,能,130,1,63,,,09429
0761,脱,130,1,7,,,09463
0762,胎,130,1,4,,,09395
0763,肩,130,1,4,,,09370
0764,臨,131,1,2,,,09601
0765-0766,自,132,1,60,,,09602
0767,至,133,1,30,,,09610
0768,擧,134,1,11,,,09632
0769-0770,與,134,1,55,,,09629
0771,興,134,1,3,,,09630
0772,舊,134,1,2,,,09633
0773,舍,135,1,2,,,09638
0774-0775,色,139,1,66,,,09716
0776,答,118,1,33,,,08437
0777,薩,140,1,19,,,10163
0778,荷,140,1,8,,,09860
0779,莊,140,1,2,,,09869
0780,著,140,1,12,,,09972
0781,M31904,140,1,2,,,
0782,蘆,140,1,2,,,10229
0783,苣,140,1,2,,,09786
0784,萬,140,1,3,,,09954
0785,蓮,140,1,4,,,10050
0786,蘊,140,1,48,,,10232
0787,華,140,1,11,,,09921
0788,莫,140,1,2,,,09886
0789,藏,140,1,32,,,10191
0790,菩,140,1,27,,,09919
0791-0792,苦,140,1,64,,,09789
0793,若,140,1,138,,,09788
0796,虚,141,1,15,,,10272
0797,處,141,1,50,,,10270
0798,號,141,1,7,,,10276
0799,融,142,1,6,,,10500
0800,衆,109,1,39,,,07844
0801-0802,行,144,1,56,,,10614
0803,表,145,1,4,,,10643
0804,衣,145,1,8,,,10637
0805,被,145,1,3,,,10683
0806,西,146,1,2,,,10820
0807,覆,146,1,4,,,10826
0808,要,146,1,2,,,10822
0809,親,147,1,6,,,10848
0810,觀,147,1,14,,,10859
0811,覺,147,1,23,,,10856
0812,見,147,1,47,,,10831
0813,角,148,1,5,,,10860
0814,觸,148,1,2,,,10887
0815,言,149,1,26,,,10890
0816,證,149,1,26,,,11155
0817,變,066,1,16,,,04319
0818,語,149,1,5,,,11017
0819,計,149,1,9,,,10896
0820-0821,諦,149,1,53,,,11072
0822,設,149,1,4,,,10928
0823,許,149,1,2,,,10930
0824-00826,謂,149,1,136,,,11095
0827-0829,説,149,1,127,,,11025
0830-0835,識,149,1,297,,,11171
0836,調,149,1,3,,,11038
0837-0838,論,149,1,63,,,11058
0839-0841,諸,149,1,110,,,11085
0842,詮,149,1,9,,,10983
0843,訶,149,1,3,,,10936
0844,讚,149,1,2,,,11229
0845,貨,154,1,2,,,11339
0846,財,154,1,2,,,11334
0847,質,154,1,3,,,11404
0848,賢,154,1,19,,,11397
0849,越,156,1,2,,,11471
0850,起,156,1,40,,,11461
0851,趣,156,1,4,,,11485
0852,足,157,1,3,,,11495
0853,路,157,1,2,,,11548
0854,疏,103,2,3,1,,07557
0855,身,158,1,47,,,11715
0856,輪,159,1,13,,,11827
0857-0858,轉,159,1,66,,,11856
0859,辨,160,1,21,,,11908
0860,進,162,1,4,,,12022
0861,達,162,1,11,,,12052
0862,廻,54,1,14,,,03008
0863,通,162,1,27,,,12000
0864,還,162,1,5,,,12108
0866,退,162,1,4,,,11982
0867,邊,162,1,5,,,12115
0868,造,162,1,3,,,12004
0869,過,162,1,40,,,12046
0870,逐,162,1,2,,,11993
0871,遂,162,1,3,,,12037
0872,違,162,1,18,,,12054
0873,近,162,1,10,,,11948
0874,逆,162,1,3,,,11986
0875,迷,162,1,6,,,11974
0876,遠,162,1,11,,,12070
0877-0878,道,162,1,57,,,12051
0879,那,163,1,47,,,12134
0880,釋,165,1,6,,,12371
0881,量,166,1,11,,,12376
