統合ID,文字,光武帝紀,字体数,用例数,部首
01682,坐,0611,1,4,032
01799,堵,0612,1,2,032
01913,壽,0613,1,2,033
01904,壬,0614,1,14,033
01903,士,0615,1,15,033
01927,夏,0616,1,5,035
01939,夜,0617,1,6,036
01938,多,0618,1,6,036
01934,外,0619,1,5,036
01961,夷,0620,1,2,037
01986,奔,0621,1,6,037
01957,失,0622,1,2,037
01981,奏,0623,1,3,037
01974,奉,0624,1,12,037
01948,太,0625,1,21,037
01949,夫,0626,1,8,037
01947,天,0627,1,41,037
07110,犬,0628,1,129,094
02105,威,0631,1,6,038
02031,如,0632,1,14,038
02061,妻,0633,1,4,038
02024,奴,0634,1,2,038
02155,婦,0635,1,2,038
02069,始,0636,1,28,038
02293,學,0637,1,2,039
02282,孫,0638,1,9,039
02264,孔,0639,1,3,039
02262,子,0640,1,52,039
02346,害,0642,1,3,040
02383,察,0643,1,2,040
02323,官,0644,1,8,040
02322,宗,0645,1,13,040
02327,宜,0646,1,6,040
02406,寵,0647,1,6,040
02309,安,0648,1,18,040
02363,寇,0649,1,7,040
02325,定,0650,1,16,040
02349,家,0651,1,5,040
02366,富,0652,1,2,040
02331,客,0653,1,4,040
02316,宏,0654,1,2,040
02342,宮,0655,1,9,040
02312,宋,0656,1,2,040
02332,室,0657,1,3,040
02361,密,0658,1,2,040
02308,守,0659,1,18,040
02359,寅,0660,1,4,040
02422,射,0661,1,3,041
02430,尋,0662,1,9,041
02427,尉,0663,1,9,041
02420,封,0664,1,12,041
02425,將,0665,1,138,041
02429,尊,0668,1,3,041
02446,尚,0669,1,6,042
02440,少,0670,1,2,042
02439,小,0671,1,5,042
02464,就,0672,1,3,043
02456,尤,0673,1,13,043
02515,屬,0674,1,12,044
02471,尺,0675,1,2,044
02518,屯,0676,1,2,045
02528,山,0677,1,7,046
02640,崩,0678,1,2,046
02764,州,0679,1,10,047
02762,川,0680,1,3,047
02780,差,0681,1,3,048
02782,己,0682,1,9,049
02783,已,0683,1,6,049
02784,巳,0684,1,9,049
02881,幡,0685,1,2,050
02835,師,0686,1,2,050
02828,帥,0687,1,3,050
02847,常,0688,1,5,050
02799,市,0689,1,2,050
02820,帝,0690,1,19,050
02900,年,0691,1,11,051
02903,幸,0692,1,29,051
02899,平,0693,1,19,051
02912,幽,0694,1,2,052
02915,幾,0695,1,2,052
02936,庚,0696,1,4,053
02938,府,0697,1,3,053
02944,度,0698,1,4,053
02961,庶,0699,1,2,053
02993,廣,0700,1,6,053
02989,廟,0701,1,9,053
02992,廢,0702,1,2,053
03005,延,0703,1,14,054
03004,廷,0704,1,3,054
03006,建,0705,1,12,054
03019,弇,0706,1,9,055
03081,彊,0707,1,3,057
03065,張,0708,1,12,057
03058,弩,0709,1,5,057
03052,弟,0710,1,2,057
03044,引,0711,1,5,057
03103,彤,0712,1,2,059
03113,彭,0713,1,12,059
03138,後,0714,1,7,060
03145,得,0715,1,15,060
03151,從,0716,1,11,060
03141,徐,0717,1,3,060
03172,德,0718,1,4,060
03171,徵,0719,1,2,060
03129,征,0720,1,15,060
03159,復,0721,1,26,060
03133,徇,0722a,2,3,060
03133b,徇,0722b,2,1,060
03143,徒,0723,1,14,060
03148,徙,0724,0,1,060
M10857,惲,0725,1,2,061
03229,怒,0726,1,2,061
03355,惑,0727,1,2,061
03395,意,0728,1,2,061
03402,愍,0729,1,3,061
03550,應,0730,1,6,061
03291,恨,0731,1,2,061
03214,念,0732,1,2,061
03180,必,0733,1,2,061
03309,悦,0734,1,2,061
03589,懼,0735,1,4,061
03312,悉,0736,1,5,061
03272,恐,0737,1,5,061
03233,怖,0738,1,2,061
03486,憂,0739,1,4,061
03264,恂,0740,1,3,061
03365,惟,0741,1,3,061
03409,感,0742,1,2,061
03518,憤,0743,1,2,061
03348,情,0744,1,2,061
03239,思,0745,1,2,061
03179,心,0746,1,5,061
03435,慄,0747,1,2,061
03366,惠,0748,1,2,061
03429,愼,0749,1,2,061
03530,憲,0750,1,14,061
03610,成,0751,1,9,062
03604,戊,0752,1,4,062
03605,戌,0753,1,5,062
03617,或,0754,1,5,062
03607,戎,0755,1,4,062
03633,戰,0756,1,29,062
03640,戸,0757,1,2,063
03647,所,0758,1,23,063
03659,手,0759,1,2,064
03904,揚,0760,1,2,064
04087,擊,0761,1,25,064
04106,據,0762,1,5,064
03780,持,0763,1,5,064
03758,招,0764a,2,2,064
03758b,招,0764b,2,1,064
03971,搶,0765,1,2,064
03855,授,0766,1,2,064
03747,拒,0767,1,2,064
03708,投,0768,1,2,064
03871,掠,0769,1,3,064
03828,捕,0770,1,5,064
03750,拔,0771,1,12,064
03878,接,0772,1,2,064
03690,承,0773,1,4,064
04084,擅,0774,1,2,064
04298,數,0775,1,22,066
04235,政,0776,1,2,066
04280,散,0777,1,7,066
04231,攻,0778,1,7,066
04224,收,0779,1,7,066
04286,敬,0780,1,2,066
04293,敵,0781,1,4,066
04263,救,0782,1,5,066
04243,故,0783,1,7,066
04277,敢,0784,1,9,066
04268,敗,0785,1,10,066
04321,文,0786,1,5,067
04349,斛,0787,1,2,068
04373,斯,0788,1,2,069
04376,新,0789,1,6,069
04369,斬,0790,1,15,069
04389,於,0791,1,75,070
04394,旁,0793,1,2,070
04422,旗,0794,1,2,070
04385,方,0795,1,5,070
04442,旣,0796,1,4,071
04512,是,0797,1,27,072
04446,日,0798,1,12,072
04484,昌,0799,1,2,072
04503,春,0800,1,6,072
04558,景,0801,1,4,072
04499,星,0802,1,2,072
04478,昆,0803,1,8,072
04523,時,0804,1,18,072
04657,書,0805,1,7,073
04650,曰,0806,1,43,073
