統合ID,文字,S.2577,字体数,用例数,部首
09599,臥,0645,1,2,131
09602,自,0646,1,12,132
09610,至,0647,1,5,133
09617,臺,0648,1,2,133
09638,舍,0649,1,7,135
09716,色,0650,1,5,139
10191,藏,0651,1,6,140
10192,藐,0652a,2,4,140
10192b,藐,0652b,2,3,140
10189,藍,0653,1,2,140
10231,蘇,0654,1,2,140
09961,落,0655,1,2,140
09788,若,0657,1,84,140
10075,蔗,0659,1,6,140
09921,華,0660,1,36,140
09863,荼,0661,1,2,140
09789,苦,0662,1,6,140
09886,莫,0663,1,2,140
10163,薩,0664,1,51,140
10204,藥,0666,1,11,140
09919,菩,0667,1,50,140
09972,著,0668,1,6,140
10272,虛,0669,1,8,141
10414,蜜,0670,1,7,142
10614,行,0671,1,17,144
10649,衰,0672,1,4,145
10683,被,0673,1,3,145
10708,裔,0674,1,2,145
10637,衣,0675,1,3,145
10831,見,0676,1,21,147
10852,覲,0677,1,3,147
10848,親,0678,1,4,147
11207,讀,0679,1,16,149
11229,讚,0680,1,5,149
11200,護,0681,1,22,149
11171,識,0682,1,5,149
04319,變,0683,1,5,066
11195,議,0684,1,5,149
11095,謂,0685,1,2,149
11028,誰,0686,1,2,149
11085,諸,0687,1,54,149
11023,誦,0689,1,16,149
11017,語,0690,1,3,149
11025,説,0691,1,48,149
10936,訶,0692,1,3,149
10974,詣,0693,1,7,149
11072,諦,0694,1,2,149
10890,言,0695,1,32,149
11342,貪,0696,1,2,154
11384,賒,0697,1,3,154
11397,賢,0698,1,16,154
11485,趣,0699,1,7,156
11461,起,0700,1,5,156
11495,足,0701,1,8,157
11715,身,0702,1,33,158
11802,輕,0703,1,2,159
11856,轉,0704,1,3,159
11745,軍,0705,1,2,159
11841,輸,0706,1,2,159
11947,迎,0707,1,2,162
00951,匝,0708,1,2,022
12108,還,0709,1,2,162
12120,邏,0710,1,4,162
12115,邊,0711,1,5,162
12092,遶,0712,1,4,162
12040,遇,0713,1,2,162
12046,過,0714,1,4,162
11960,迦,0715,1,12,162
12051,道,0716,1,9,162
12070,遠,0717,1,3,162
12000,通,0718,1,15,162
12052,達,0719,1,7,162
12022,進,0720,1,3,162
12134,那,0721,1,15,163
12186,郵,0722,1,2,163
12345,醯,0723,1,9,164
12371,釋,0724,1,10,165
12376,量,0725,1,15,166
12373,重,0726,1,3,166
12380,金,0727,1,3,167
12698,長,0728,1,4,168
12757,閻,0729,1,2,169
12774,闍,0730,1,2,169
12709,門,0731,1,8,169
12724,間,0732,1,6,169
12800,闥,0733,1,4,169
12830,阿,0734,1,37,170
12855,除,0735,1,3,170
12831,陀,0736,1,36,170
12927,隨,0737,1,3,170
12935,隱,0738,1,3,170
13001,離,0739,1,4,172
13002,難,0740,1,10,172
13020,雲,0741,1,8,173
13023,雷,0742,1,8,173
13036,震,0743,1,2,173
13012,雨,0744,1,5,173
13104,非,0745,1,6,175
13108,面,0746,1,3,176
13237,韋,0747,1,2,178
13281,音,0748,1,35,180
13355,頸,0749,1,2,181
13296,頂,0750,1,2,181
13391,願,0751,1,11,181
13359,頻,0752,1,2,181
