統合ID,文字,開成周易,字体数,用例数,部首
02415,寺,0077,0,1,041
02515,屬,0078,0,1,044
02504,屢,0079,0,1,044
02471,尺,0080,0,1,044
02771,巢,0081,0,1,047
02773,工,0082,0,1,048
02782,己,0083,0,1,049
02846,帶,0084,0,1,050
02871,幕,0085,0,1,050
02819,帛,0086,0,1,050
02800,布,0087,0,1,050
02897,干,0088,0,1,051
05014,棄,0089,0,1,075
03032,弋,0090,0,1,056
03065,張,0091,0,1,057
03066,強,0092,0,1,057
03047,弘,0093,0,1,057
03055,弦,0094,0,1,057
03115,彰,0095,0,1,059
03142,徑,0096,0,1,060
03171,徵,0097,0,1,060
03177,徽,0098,0,1,060
03203,忠,0099,0,1,061
03220,忿,0100,0,1,061
03312,悉,0101,0,1,061
03453,慙,0102,0,1,061
03387,愁,0103,0,1,061
03594,懿,0104,0,1,061
03365,惟,0105,0,1,061
03289,恥,0106,0,1,061
03240,怠,0107,0,1,061
03493,憊,0108,0,1,061
03410,慍,0109,0,1,061
03391,愈,0110,0,1,061
03501,憑,0111,0,1,061
03618,戚,0112,0,1,062
09600,臧,0113,0,1,131
03602,戈,0114,0,1,062
03892,揆,0115,0,1,064
03659,手,0116,0,1,064
03865,掘,0117,0,1,064
04009,摩,0118,0,1,064
03854,掇,0119,0,1,064
03875,掣,0120,0,1,064
03911,握,0121,0,1,064
03924,揲,0122,0,1,064
03874,探,0123,0,1,064
03893,揉,0124,0,1,064
03686,扶,0125,0,1,064
03708,投,0126,0,1,064
04216,支,0127,0,1,065
04235,政,0128,0,1,066
04224,收,0129,0,1,066
04258,敘,0130,0,1,066
04378,斲,0131,0,1,069
04296,敷,0132,0,1,066
04412,族,0133,0,1,070
04581,暌,0134,0,1,072
04510,昭,0135,0,1,072
06890,煇,0136,0,1,086
04557,普,0137,0,1,072
04452,早,0138,0,1,072
04548,晢,0139,0,1,072
04499,星,0140,0,1,072
04656,曷,0141,0,1,073
09411,胡,0142,0,1,130
05069,椁,0144,0,1,075
04856,柝,0145,0,1,075
05063,棺,0146,0,1,075
05323,樹,0147,0,1,075
04924,格,0148,0,1,075
04974,梏,0149,0,1,075
04937,桎,0150,0,1,075
04750,束,0151,0,1,075
04801,枕,0152,0,1,075
05031,棘,0153,0,1,075
04908,株,0154,0,1,075
04749,杞,0155,0,1,075
04717,朱,0156,0,1,075
04807,枝,0157,0,1,075
05235,構,0158,0,1,075
05529,權,0159,0,1,075
05226,槁,0160,0,1,075
04803,林,0161,0,1,075
05612,歎,0162,0,1,076
05707,殆,0163,0,1,078
05699,殃,0164,0,1,078
06400,準,0165,0,1,085
05978,汗,0166,0,1,085
06038,沬,0167,0,1,085
06633,濕,0168,0,1,085
06476,滿,0169,0,1,085
06043,沱,0170,0,1,085
06290,清,0171,0,1,085
06448,滕,0172,0,1,085
06112,洌,0173,0,1,085
05996,汲,0174,0,1,085
06381,湯,0175,0,1,085
06487,漏,0176,0,1,085
06422,溺,0177,0,1,085
06506,漫,0178,0,1,085
06355,湊,0180,0,1,085
06404,溝,0181,0,1,085
06340,游,0182,0,1,085
06477,漁,0183,0,1,085
06023,沒,0184,0,1,085
06277,淫,0185,0,1,085
06123,洛,0186,0,1,085
06120,洗,0187,0,1,085
06335,測,0188,0,1,085
06984,營,0189,0,1,086
06981,燕,0190,0,1,086
06845,烜,0191,0,1,086
06956,熯,0192,0,1,086
07017,爛,0193,0,1,086
