,,kgk_賢劫経二,kgk_賢劫経二,kgk_賢劫経二,
統合ID,見出し文字,代表字形ID,字体数,代表字形ID,部首
12380,金,0855,1,2,167
12698,長,0856,1,14,168
12709,門,0857,1,10,169
12716,開,0858,1,10,169
12739,閣,0859,1,3,169
12722,閑,0860,1,3,169
12838,降,0861,1,3,170
12862,陰,0862,1,3,170
12830,阿,0863,1,8,170
12855,除,0864,1,7,170
12839,限,0865,1,7,170
12935,隱,0866,1,3,170
12913,際,0867a,2,9,170
12913b,際,0867b,2,1,170
12886,隆,0868,1,2,170
12927,隨,0869,1,8,170
13002,難,0870,1,15,172
12963,集,0871,1,2,172
13001,離,0872,1,11,172
13023,雷,0873,1,2,173
13012,雨,0874,1,4,173
13107,靡,0875,1,3,175
13108,面,0876,1,2,176
13150,鞅,0877,1,3,177
13281,音,0878,1,18,180
13304,須,0879,1,2,181
13307,頌,0880,1,9,181
13416,顯,0881,1,4,181
13391,願,0882,1,5,181
13398,類,0883,1,7,181
13302,順,0884,1,9,181
13423,風,0885,1,2,182
13503,食,0886,1,2,184
13551,養,0887,1,18,184
13565,餘,0888,1,10,184
13559,餓,0889,1,3,184
13661,首,0890,1,7,185
13940,高,0891,1,2,189
14061,鬼,0892,1,2,194
14088,魔,0893,1,3,194
14361,鳥,0894,1,2,196
00025,世,0895a,2,44,001
00025b,世,0895b,2,3,001
00121,亂,0896a,2,2,005
00121b,亂,0896b,2,1,005
00154,亦,0897a,2,19,008
00154b,亦,0897b,2,8,008
00759,初,0898a,2,3,018
00759b,初,0898b,2,2,018
02806,希,0899a,2,1,050
02806b,希,0899b,2,1,050
02932,底,0900a,2,1,053
02932b,底,0900b,2,1,053
03079,彈,0901a,2,2,057
03079b,彈,0901b,2,1,057
03124,彼,0902a,2,8,060
03124b,彼,0902b,2,2,060
03138,後,0903a,2,8,060
03138b,後,0903b,2,6,060
03549,懈,0904a,2,3,061
03549b,懈,0904b,2,2,061
04489,易,0905a,2,1,072
04489b,易,0905b,2,1,072
05639,歡,0906a,2,2,076
05639b,歡,0906b,2,1,076
05957,永,0907a,2,3,085
05957b,永,0907b,2,1,085
06490,演,0908a,2,2,085
06490b,演,0908b,2,2,085
07203,猶,0909a,2,15,094
07203b,猶,0909b,2,1,094
07535,當,0910a,2,14,102
07535b,當,0910b,2,4,102
07559,疑,0911a,2,3,103
07559b,疑,0911b,2,2,103
