,,kcj_慶長紀2,kcj_慶長紀2,kcj_慶長紀2,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
05686,死,0766,1,6,078
05777,殯,0767,1,2,078
05809,殿,0768,1,4,079
05836,每,0769,1,2,080
05834,母,0770,1,10,080
05841,比,0771,1,6,081
05850,毛,0772,1,5,082
05935,民,0773,1,2,083
05947,氣,0774,1,2,084
05962,汀,0775,1,7,085
06658,濱,0776,1,8,085
05952,水,0777,1,6,085
06074,法,0778,1,2,085
06145,活,0779,1,3,085
05996,汲,0780,1,5,085
06713,瀨,0781,1,7,085
06554,潮,0782,1,23,085
06015,沈,0783,1,3,085
06023,沒,0784,1,5,085
06645,濤,0785,1,3,085
06507,漬,0786,1,3,085
06227,涸,0787,1,10,085
06294,添,0788,1,2,085
06422,溺,0789,1,8,085
05957,永,0790,1,4,085
06312,渚,0791,1,3,085
06193,涉,0792,1,2,085
06408,溢,0793,1,5,085
06150,洿,0794,1,2,085
06173,浪,0795,1,2,085
06432,滅,0796,1,2,085
06381,湯,0797,1,6,085
06611,濃,0798,1,2,085
06087,泣,0799,1,2,085
06285,深,0800,1,3,085
06476,滿,0801,1,7,085
06175,浮,0802,1,8,085
06723,瀲,0803,1,7,085
06182,海,0804,1,74,085
06086,波,0806,1,12,085
05964,求,0807a,2,2,085
05964b,求,0807b,2,1,085
06055,治,0808,1,9,085
05983,汝,0809,1,48,085
06872,無,0810,1,22,086
06776,火,0811,1,155,086
06861,焉,0815,1,25,086
06885,然,0816,1,21,086
06956,熯,0817,1,2,086
06957,熱,0818,1,2,086
06801,炎,0819,1,3,086
06867,焚,0820,1,2,086
06939,熊,0821,1,4,086
06947,熛,0822,1,2,086
07032,爲,0823,1,58,087
07035,父,0825,1,12,088
07043,爾,0826,1,9,089
07086,特,0827,1,2,093
07080,物,0828,1,5,093
07162,狹,0829,1,19,094
07230,獨,0830,1,3,094
07207,猿,0831,1,6,094
07248,獸,0832,1,3,094
07139,狗,0833,1,2,094
07262,王,0834,1,7,096
07307,理,0835,1,3,096
