カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号,
0817,眞,1,7,,,07827,109,
0818,衆,1,2,,,10608,143,
0819,相,1,12,,,07801,109,
0820,矛,1,4,,,07929,110,
0821,矢,1,13,,,07937,111,
0822,知,1,14,,,07941,030,
0823,短,1,2,,,07948,111,
0824,磐,1,17,,,08047,112,
0825,石,1,5,,,07954,112,
0826,碕,1,4,,,08023,112,
0827,磨,1,7,,,08057,112,
0828,禰,1,4,,,08248,115,
0829,祇,1,8,,,08107,113,
0830-0833,神,1,162,,,08124,113,
0834,祖,1,13,,,08117,113,
0835,秋,1,2,,,08187,115,
0836,種,1,2,,,08244,115,
0837,移,1,2,,,08212,115,
0838,稚,1,16,,,08233,115,
