統合ID,文字,和寧花67,字体数,用例数,部首
09753,芬,0737,1,2,140
09788,若,0738,1,43,140
09789,苦,0739,1,16,140
09886,莫,0740,1,2,140
09919,菩,0741,1,144,140
09961,落,0744,1,3,140
09972,著,0745,1,21,140
10040,蓋,0746,1,3,140
10050,蓮,0747,1,4,140
10088,蔽,0748,1,2,140
10163,薩,0749,1,134,140
10191,藏,0752,1,25,140
10192,藐,0753,1,14,140
10201,藝,0754,1,2,140
10272,虛,0755,1,3,141
10414,蜜,0756,1,20,142
10614,行,0757,1,96,144
10637,衣,0759,1,9,145
10826,覆,0760,1,5,146
10831,見,0761,1,89,147
10848,親,0763,1,2,147
10859,觀,0764,1,17,147
10890,言,0765,1,32,149
10936,訶,0766,1,8,149
10974,詣,0767,1,14,149
11017,語,0768,1,4,149
11024,誨,0769,1,5,149
11038,調,0770,1,8,149
11058,論,0771,1,2,149
11085,諸,0772,1,143,149
11095,謂,0775,1,6,149
11155,證,0776,1,4,149
11171,識,0777,1,16,149
11195,議,0778,1,3,149
11200,護,0779,1,4,149
11229,讚,0780,1,5,149
11311,貌,0781,1,2,153
11334,財,0782,1,39,154
11342,貪,0783,1,4,154
11377,賊,0784,1,3,154
11461,起,0785,1,21,156
11467,超,0786,1,3,156
11485,趣,0787a,2,6,156
11485b,趣,0787b,2,6,156
11495,足,0788,1,26,157
11548,路,0789,1,6,157
11715,身,0790,1,42,158
11740,車,0791,1,2,159
11745,軍,0792,1,3,159
11827,輪,0793,1,11,159
11856,轉,0794,1,8,159
11916,辯,0795,1,4,160
11948,近,0796,1,3,162
11960,迦,0797,1,8,162
11974,迷,0798,1,5,162
12000,通,0799,1,7,162
12003,速,0800,1,4,162
12022,進,0801,1,2,162
12027,逸,0802,1,2,162
12040,遇,0803,1,2,162
12042,遊,0804,1,12,162
12043,運,0805,1,2,162
12046,過,0806,1,4,162
12051,道,0807,1,70,162
12052,達,0809,1,6,162
12070,遠,0810,1,3,162
12082,遭,0811,1,2,162
12083,遮,0812,1,4,162
12092,遶,0813,1,36,162
12108,還,0814,1,2,162
12115,邊,0815,1,3,162
12123,邑,0816,1,3,163
12134,那,0817,1,17,163
12139,邪,0818,1,2,163
12176,部,0819,1,2,163
12188,都,0820,1,3,163
12234,鄰,0821,1,2,163
12371,釋,0822,1,4,165
12373,重,0823,1,4,166
12374,野,0824,1,3,166
12376,量,0825,1,23,166
12380,金,0826,1,11,167
12440,鉢,0827,1,3,167
12698,長,0828,1,10,168
12709,門,0829,1,69,169
12716,開,0831,1,3,169
12724,間,0832,1,24,169
12739,閣,0833,1,6,169
12757,閻,0834,1,12,169
12800,闥,0835,1,5,169
12830,阿,0836,1,25,170
12831,陀,0837,1,10,170
12855,除,0838,1,7,170
12870,陸,0839,1,2,170
12914,障,0840,1,12,170
12927,隨,0841,1,8,170
12929,險,0842,1,9,170
12935,隱,0843,1,5,170
12963,集,0844,1,3,172
12997,雜,0845,1,2,172
13001,離,0846a,2,23,172
13001b,離,0846b,2,3,172
13002,難,0847,1,17,172
13012,雨,0848,1,8,173
13015,雪,0849,1,3,173
13020,雲,0850,1,11,173
13063,霧,0851,1,2,173
13095,青,0852,1,2,174
13104,非,0853,1,4,175
13281,音,0854,1,13,180
13296,頂,0855,1,12,181
13302,順,0856,1,6,181
13304,須,0857,1,6,181
13346,頭,0858,1,4,181
13359,頻,0859,1,7,181
13398,類,0860,1,2,181
13416,顯,0861,1,4,181
13423,風,0862,1,6,182
13542,飾,0863,1,2,184
13551,養,0864,1,12,184
13565,餘,0865,1,3,184
13661,首,0866,1,17,185
13667,香,0867,1,59,186
13680,馬,0869,1,2,187
13845,驕,0870,1,3,187
13852,驚,0871,1,2,187
13934,體,0872,1,2,188
13940,高,0873,1,5,189
13999,鬘,0874,1,2,190
14033,鬭,0875,1,2,191
14088,魔,0876,1,2,194
14709,黑,0877,1,2,203
14876,龍,0878,1,17,212
00118,乾,0879a,2,5,005
00118b,乾,0879b,2,1,005
00154,亦,0880a,2,9,008
00154b,亦,0880b,2,4,008
00781,刹,0881a,2,11,018
00781b,刹,0881b,2,5,018
01682,坐,0882a,2,2,032
01682b,坐,0882b,2,1,032
01863,墮,0883a,2,1,032
01863b,墮,0883b,2,1,032
02293,學,0884a,2,9,039
02293b,學,0884b,2,8,039
02473,尼,0885a,2,53,044
02473b,尼,0885b,2,3,044
02757,巖,0887a,2,1,046
02757b,巖,0887b,2,1,046
02946,座,0888a,2,43,053
02946b,座,0888b,2,2,053
03005,延,0889a,2,1,054
03005b,延,0889b,2,1,054
03636,戲,0890a,2,1,062
03636b,戲,0890b,2,1,062
03708,投,0891a,2,1,064
03708b,投,0891b,2,1,064
03896,提,0892a,2,25,064
03896b,提,0892b,2,4,064
