,,hod_法蔵和尚,hod_法蔵和尚,hod_法蔵和尚,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
00157,京,0703,1,5,008
00154,亦,0704,1,8,008
00161,亮,0705,1,2,008
00156,享,0706,1,2,008
00194,以,0707,1,52,009
00449,傍,0708,1,2,009
00360,俾,0709,1,8,009
00193,令,0710,1,14,009
00175,今,0711,1,10,009
00350,倶,0712,1,3,009
00240,但,0713,1,2,009
00186,仙,0714,1,2,009
00256,作,0715,1,6,009
00255,佛,0716,1,9,009
00288,侍,0717,1,2,009
00299,供,0718,1,3,009
00405,假,0719,1,2,009
00516,儀,0720,1,3,009
00555,儼,0721,1,10,009
00217,伏,0722,1,6,009
00168,人,0723,1,37,009
00177,仍,0724,1,10,009
00345,信,0725,1,7,009
00236,伽,0726,1,5,009
00192,代,0727,1,6,009
00479,僅,0728,1,2,009
00407,偉,0729,1,2,009
00406,偈,0730,1,6,009
00503,僧,0731,1,14,009
00282,來,0732,1,20,009
00199,仰,0733,1,4,009
00183,他,0734,1,2,009
00250,何,0735,1,4,009
00468,傳,0736,1,30,009
00385,値,0737,1,2,009
00321,便,0738,1,5,009
00338,俗,0739,1,8,009
00293,侔,0740,1,2,009
00301,依,0741,1,2,009
00218,伐,0742,1,2,009
00316,侶,0743,1,2,009
00489,像,0744,1,5,009
00279,使,0745,1,15,009
00560,元,0746,1,11,010
00567,光,0747,1,22,010
00566,先,0748,1,9,010
00561,兄,0749,1,2,010
00589,全,0750,1,2,011
00582,入,0751,1,12,011
00585,内,0752,1,7,011
00591,兩,0753,1,11,011
00608,典,0754,1,3,012
00596,公,0755,1,7,012
00594,八,0756,1,5,012
00597,六,0757,1,15,012
00599,共,0758,1,3,012
00613,兼,0759,1,4,012
00606,具,0760,1,8,012
00605,其,0761,1,48,012
00602,兵,0762,1,2,012
00629,再,0763,1,4,013
00625,冊,0764,1,2,013
00646,冠,0765,1,2,014
05558,次,0766,1,3,076
00662,冬,0767,1,3,015
00664,冰,0768,1,2,015
00701,凡,0769,1,2,016
00723,出,0770,1,16,017
00734,分,0771,1,7,018
00754,列,0772,1,2,018
00776,制,0773,1,4,018
00735,切,0774,1,2,018
00767,利,0775,1,7,018
00794,前,0776,1,15,018
00791,削,0777,1,3,018
00763,別,0778,1,12,018
00789,則,0779,1,24,018
00843,劍,0780,1,2,018
00761,判,0781,1,2,018
00856,力,0782,1,8,019
00858,加,0783,1,9,019
00863,助,0784,1,2,019
00857,功,0785,1,11,019
00887,動,0786,1,3,019
00893,勝,0787,1,3,019
00885,勒,0788,1,2,019
00890,務,0789,1,3,019
00894,勞,0790,1,3,019
00900,勤,0791,1,3,019
00879,勅,0792,1,7,019
00938,化,0793,1,7,021
00959,匪,0794,1,2,022
00975,匹,0795,1,2,023
00992,午,0796,1,2,024
00985,十,0797,1,45,024
00987,千,0798,1,8,024
01010,南,0799,1,4,024
01016,博,0800,1,5,024
00994,半,0801,1,2,024
01004,卒,0802,1,2,024
01040,卷,0803,1,21,026
01049,卽,0804,1,7,026
01074,原,0805,1,2,027
01101,去,0806,1,2,028
01128,受,0807,1,6,029
01127,取,0808,1,4,029
01111,及,0809,1,15,029
01133,叛,0810,1,2,029
01112,友,0811,1,2,029
01108,又,0812,1,7,029
01235,周,0813,1,6,030
01252,命,0814,1,12,030
01215,吼,0815,1,2,030
01176,后,0816,1,3,030
01141,口,0817,1,2,030
01179,向,0818,1,3,030
01203,呈,0819,1,2,030
01174,同,0820,1,10,030
01143,句,0821,1,2,030
01150,召,0822,1,3,030
01349,唯,0823,1,4,030
01157,史,0824,1,8,030
01142,古,0825,1,9,030
01581,嚴,0826,1,31,030
01185,君,0828,1,2,030
01172,吉,0829,1,2,030
01170,合,0830,1,4,030
01468,嘉,0831,1,2,030
01412,喜,0832,1,7,030
01296,品,0833,1,9,030
01288,咸,0834,1,2,030
01242,味,0835,1,5,030
01168,各,0836,1,4,030
01155,台,0837,1,2,030
01219,告,0838,1,3,030
01163,司,0839,1,2,030
01160,叵,0840,1,2,030
01263,和,0841,1,6,030
01342,唐,0842,1,6,030
01373,啓,0843,1,5,030
01523,器,0844,1,2,030
01421,喩,0845,1,3,030
01326,哲,0846,1,3,030
01305,哉,0847,1,3,030
01451,嗟,0848,1,2,030
01395,善,0849,1,10,030
01175,名,0850,1,16,030
01154,可,0851,1,17,030
01369,問,0852,1,7,030
01295,哀,0853,1,2,030
01158,右,0854,1,3,030
01479,嘗,0855,1,3,030
01607,四,0856,1,19,031
01627,固,0857,1,4,031
01647,圖,0858,1,2,031
01639,國,0859,1,13,031
01645,圓,0860,1,12,031
01611,因,0861,1,27,031
01654,土,0862,1,4,032
01798,場,0863,1,7,032
01659,在,0864,1,8,032
01853,增,0865,1,3,032
01765,堂,0866,1,2,032
01740,城,0867,1,3,032
01745,域,0868,1,3,032
01710,垂,0869,1,5,032
01831,塵,0870,1,5,032
01666,地,0871,1,10,032
01816,塔,0872,1,5,032
01878,壇,0873,1,2,032
01674,均,0874,1,3,032
01755,執,0875,1,2,032
01903,士,0876,1,8,033
01927,夏,0877,1,4,035
